hour (h);irradiance (W/m^2)
8;136.1111111
9;305.5555556
10;350
11;316.6666667
12;358.3333333
13;361.1111111
14;213.8888889
15;408.3333333
16;269.4444444
17;86.11111111
18;30.55555556
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;5.555555556
7;30.55555556
8;116.6666667
9;97.22222222
10;163.8888889
11;191.6666667
12;108.3333333
13;75
14;94.44444444
15;86.11111111
16;47.22222222
17;50
18;19.44444444
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;8.333333333
7;41.66666667
8;119.4444444
9;230.5555556
10;222.2222222
11;155.5555556
12;358.3333333
13;463.8888889
14;247.2222222
15;341.6666667
16;219.4444444
17;102.7777778
18;27.77777778
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;5.555555556
7;55.55555556
8;86.11111111
9;202.7777778
10;250
11;375
12;500
13;358.3333333
14;422.2222222
15;441.6666667
16;297.2222222
17;197.2222222
18;41.66666667
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;11.11111111
7;33.33333333
8;177.7777778
9;238.8888889
10;308.3333333
11;366.6666667
12;433.3333333
13;533.3333333
14;600
15;397.2222222
16;341.6666667
17;233.3333333
18;127.7777778
19;11.11111111
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;2.777777778
6;75
7;75
8;163.8888889
9;127.7777778
10;94.44444444
11;205.5555556
12;472.2222222
13;325
14;411.1111111
15;466.6666667
16;316.6666667
17;158.3333333
18;61.11111111
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;2.777777778
6;58.33333333
7;186.1111111
8;197.2222222
9;280.5555556
10;447.2222222
11;602.7777778
12;583.3333333
13;227.7777778
14;125
15;61.11111111
16;55.55555556
17;63.88888889
18;61.11111111
19;19.44444444
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;2.777777778
6;41.66666667
7;113.8888889
8;150
9;161.1111111
10;311.1111111
11;413.8888889
12;552.7777778
13;600
14;447.2222222
15;336.1111111
16;188.8888889
17;83.33333333
18;33.33333333
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;58.33333333
7;180.5555556
8;400
9;544.4444444
10;669.4444444
11;686.1111111
12;650
13;669.4444444
14;683.3333333
15;575
16;400
17;277.7777778
18;116.6666667
19;13.88888889
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;80.55555556
7;233.3333333
8;286.1111111
9;113.8888889
10;66.66666667
11;327.7777778
12;458.3333333
13;227.7777778
14;436.1111111
15;163.8888889
16;233.3333333
17;133.3333333
18;88.88888889
19;11.11111111
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;97.22222222
7;261.1111111
8;391.6666667
9;594.4444444
10;705.5555556
11;780.5555556
12;813.8888889
13;763.8888889
14;722.2222222
15;608.3333333
16;463.8888889
17;300
18;133.3333333
19;19.44444444
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;8.333333333
6;86.11111111
7;208.3333333
8;269.4444444
9;563.8888889
10;583.3333333
11;613.8888889
12;605.5555556
13;433.3333333
14;405.5555556
15;286.1111111
16;383.3333333
17;275
18;88.88888889
19;13.88888889
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;11.11111111
6;88.88888889
7;233.3333333
8;386.1111111
9;541.6666667
10;658.3333333
11;727.7777778
12;772.2222222
13;705.5555556
14;513.8888889
15;511.1111111
16;347.2222222
17;175
18;69.44444444
19;11.11111111
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;2.777777778
6;16.66666667
7;30.55555556
8;83.33333333
9;97.22222222
10;97.22222222
11;150
12;191.6666667
13;266.6666667
14;313.8888889
15;333.3333333
16;238.8888889
17;141.6666667
18;86.11111111
19;22.22222222
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;8.333333333
6;97.22222222
7;219.4444444
8;405.5555556
9;544.4444444
10;666.6666667
11;744.4444444
12;666.6666667
13;733.3333333
14;669.4444444
15;363.8888889
16;369.4444444
17;144.4444444
18;52.77777778
19;11.11111111
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;2.777777778
6;44.44444444
7;150
8;330.5555556
9;280.5555556
10;597.2222222
11;408.3333333
12;366.6666667
13;572.2222222
14;661.1111111
15;494.4444444
16;355.5555556
17;266.6666667
18;111.1111111
19;19.44444444
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;11.11111111
7;27.77777778
8;52.77777778
9;36.11111111
10;38.88888889
11;55.55555556
12;80.55555556
13;80.55555556
14;75
15;94.44444444
16;88.88888889
17;44.44444444
18;19.44444444
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;11.11111111
6;80.55555556
7;213.8888889
8;208.3333333
9;350
10;497.2222222
11;638.8888889
12;636.1111111
13;600
14;611.1111111
15;536.1111111
16;408.3333333
17;291.6666667
18;169.4444444
19;41.66666667
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;13.88888889
6;166.6666667
7;227.7777778
8;363.8888889
9;325
10;438.8888889
11;583.3333333
12;750
13;816.6666667
14;700
15;422.2222222
16;436.1111111
17;322.2222222
18;127.7777778
19;27.77777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;2.777777778
6;33.33333333
7;69.44444444
8;69.44444444
9;75
10;86.11111111
11;480.5555556
12;808.3333333
13;700
14;700
15;538.8888889
16;472.2222222
17;341.6666667
18;163.8888889
19;33.33333333
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;13.88888889
6;102.7777778
7;191.6666667
8;275
9;488.8888889
10;480.5555556
11;658.3333333
12;400
13;558.3333333
14;472.2222222
15;611.1111111
16;491.6666667
17;336.1111111
18;169.4444444
19;41.66666667
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;19.44444444
6;136.1111111
7;266.6666667
8;463.8888889
9;616.6666667
10;730.5555556
11;777.7777778
12;727.7777778
13;741.6666667
14;727.7777778
15;594.4444444
16;441.6666667
17;236.1111111
18;119.4444444
19;38.88888889
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;11.11111111
6;44.44444444
7;77.77777778
8;191.6666667
9;219.4444444
10;144.4444444
11;147.2222222
12;344.4444444
13;372.2222222
14;344.4444444
15;327.7777778
16;347.2222222
17;172.2222222
18;83.33333333
19;22.22222222
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;22.22222222
6;100
7;291.6666667
8;461.1111111
9;594.4444444
10;680.5555556
11;769.4444444
12;691.6666667
13;775
14;727.7777778
15;627.7777778
16;475
17;305.5555556
18;147.2222222
19;38.88888889
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;25
6;144.4444444
7;311.1111111
8;477.7777778
9;630.5555556
10;694.4444444
11;783.3333333
12;777.7777778
13;786.1111111
14;697.2222222
15;358.3333333
16;294.4444444
17;58.33333333
18;86.11111111
19;44.44444444
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;16.66666667
6;116.6666667
7;305.5555556
8;475
9;613.8888889
10;730.5555556
11;830.5555556
12;638.8888889
13;369.4444444
14;408.3333333
15;263.8888889
16;133.3333333
17;122.2222222
18;158.3333333
19;38.88888889
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;25
6;144.4444444
7;302.7777778
8;455.5555556
9;597.2222222
10;686.1111111
11;772.2222222
12;805.5555556
13;766.6666667
14;758.3333333
15;583.3333333
16;397.2222222
17;269.4444444
18;127.7777778
19;33.33333333
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;33.33333333
6;108.3333333
7;272.2222222
8;377.7777778
9;536.1111111
10;622.2222222
11;547.2222222
12;458.3333333
13;347.2222222
14;461.1111111
15;230.5555556
16;111.1111111
17;86.11111111
18;44.44444444
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;25
7;147.2222222
8;269.4444444
9;463.8888889
10;594.4444444
11;755.5555556
12;519.4444444
13;161.1111111
14;230.5555556
15;222.2222222
16;175
17;202.7777778
18;77.77777778
19;8.333333333
20;8.333333333
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;8.333333333
6;83.33333333
7;255.5555556
8;294.4444444
9;483.3333333
10;702.7777778
11;900
12;897.2222222
13;838.8888889
14;636.1111111
15;436.1111111
16;408.3333333
17;311.1111111
18;119.4444444
19;66.66666667
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;50
7;122.2222222
8;152.7777778
9;211.1111111
10;150
11;172.2222222
12;86.11111111
13;172.2222222
14;383.3333333
15;161.1111111
16;150
17;119.4444444
18;41.66666667
19;22.22222222
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;13.88888889
6;33.33333333
7;61.11111111
8;63.88888889
9;55.55555556
10;97.22222222
11;111.1111111
12;372.2222222
13;261.1111111
14;622.2222222
15;202.7777778
16;233.3333333
17;172.2222222
18;94.44444444
19;8.333333333
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;13.88888889
6;19.44444444
7;94.44444444
8;333.3333333
9;438.8888889
10;458.3333333
11;413.8888889
12;475
13;433.3333333
14;297.2222222
15;144.4444444
16;177.7777778
17;191.6666667
18;105.5555556
19;44.44444444
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;22.22222222
7;58.33333333
8;108.3333333
9;191.6666667
10;247.2222222
11;166.6666667
12;283.3333333
13;186.1111111
14;208.3333333
15;233.3333333
16;158.3333333
17;247.2222222
18;94.44444444
19;44.44444444
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;25
6;141.6666667
7;227.7777778
8;263.8888889
9;291.6666667
10;344.4444444
11;363.8888889
12;455.5555556
13;294.4444444
14;100
15;83.33333333
16;88.88888889
17;105.5555556
18;77.77777778
19;22.22222222
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;22.22222222
6;77.77777778
7;116.6666667
8;125
9;125
10;266.6666667
11;258.3333333
12;338.8888889
13;611.1111111
14;766.6666667
15;636.1111111
16;450
17;269.4444444
18;147.2222222
19;77.77777778
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;27.77777778
6;72.22222222
7;102.7777778
8;102.7777778
9;138.8888889
10;141.6666667
11;72.22222222
12;66.66666667
13;63.88888889
14;113.8888889
15;61.11111111
16;72.22222222
17;27.77777778
18;27.77777778
19;11.11111111
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;8.333333333
6;33.33333333
7;36.11111111
8;58.33333333
9;102.7777778
10;127.7777778
11;116.6666667
12;72.22222222
13;83.33333333
14;88.88888889
15;41.66666667
16;27.77777778
17;22.22222222
18;22.22222222
19;11.11111111
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;8.333333333
6;38.88888889
7;44.44444444
8;58.33333333
9;80.55555556
10;69.44444444
11;200
12;141.6666667
13;163.8888889
14;213.8888889
15;316.6666667
16;88.88888889
17;105.5555556
18;75
19;22.22222222
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;55.55555556
6;186.1111111
7;352.7777778
8;513.8888889
9;675
10;772.2222222
11;805.5555556
12;497.2222222
13;336.1111111
14;377.7777778
15;272.2222222
16;186.1111111
17;111.1111111
18;41.66666667
19;13.88888889
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;22.22222222
7;38.88888889
8;88.88888889
9;100
10;119.4444444
11;138.8888889
12;116.6666667
13;77.77777778
14;88.88888889
15;77.77777778
16;91.66666667
17;47.22222222
18;27.77777778
19;8.333333333
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;5.555555556
6;25
7;47.22222222
8;63.88888889
9;108.3333333
10;116.6666667
11;83.33333333
12;88.88888889
13;72.22222222
14;55.55555556
15;61.11111111
16;41.66666667
17;38.88888889
18;19.44444444
19;8.333333333
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;11.11111111
6;33.33333333
7;61.11111111
8;136.1111111
9;261.1111111
10;213.8888889
11;305.5555556
12;116.6666667
13;311.1111111
14;330.5555556
15;330.5555556
16;222.2222222
17;150
18;213.8888889
19;86.11111111
20;5.555555556
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;11.11111111
6;61.11111111
7;102.7777778
8;119.4444444
9;427.7777778
10;50
11;408.3333333
12;330.5555556
13;625
14;508.3333333
15;430.5555556
16;533.3333333
17;363.8888889
18;225
19;94.44444444
20;5.555555556
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;50
6;166.6666667
7;230.5555556
8;413.8888889
9;691.6666667
10;836.1111111
11;583.3333333
12;625
13;211.1111111
14;500
15;327.7777778
16;463.8888889
17;197.2222222
18;175
19;69.44444444
20;5.555555556
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;41.66666667
6;125
7;291.6666667
8;383.3333333
9;497.2222222
10;675
11;597.2222222
12;758.3333333
13;563.8888889
14;572.2222222
15;413.8888889
16;261.1111111
17;122.2222222
18;22.22222222
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;13.88888889
6;47.22222222
7;97.22222222
8;205.5555556
9;294.4444444
10;369.4444444
11;341.6666667
12;355.5555556
13;402.7777778
14;236.1111111
15;333.3333333
16;405.5555556
17;319.4444444
18;186.1111111
19;77.77777778
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;80.55555556
6;227.7777778
7;394.4444444
8;550
9;683.3333333
10;786.1111111
11;788.8888889
12;822.2222222
13;650
14;713.8888889
15;616.6666667
16;522.2222222
17;416.6666667
18;233.3333333
19;91.66666667
20;11.11111111
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;38.88888889
6;208.3333333
7;372.2222222
8;527.7777778
9;663.8888889
10;772.2222222
11;755.5555556
12;677.7777778
13;813.8888889
14;755.5555556
15;577.7777778
16;477.7777778
17;388.8888889
18;211.1111111
19;55.55555556
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;22.22222222
6;44.44444444
7;44.44444444
8;36.11111111
9;88.88888889
10;127.7777778
11;88.88888889
12;63.88888889
13;66.66666667
14;116.6666667
15;130.5555556
16;66.66666667
17;133.3333333
18;69.44444444
19;30.55555556
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;13.88888889
6;52.77777778
7;108.3333333
8;161.1111111
9;152.7777778
10;261.1111111
11;344.4444444
12;316.6666667
13;463.8888889
14;658.3333333
15;263.8888889
16;141.6666667
17;105.5555556
18;130.5555556
19;52.77777778
20;11.11111111
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;19.44444444
6;100
7;419.4444444
8;500
9;594.4444444
10;758.3333333
11;730.5555556
12;858.3333333
13;847.2222222
14;780.5555556
15;652.7777778
16;519.4444444
17;391.6666667
18;200
19;105.5555556
20;22.22222222
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;13.88888889
6;38.88888889
7;72.22222222
8;88.88888889
9;108.3333333
10;113.8888889
11;138.8888889
12;555.5555556
13;691.6666667
14;597.2222222
15;427.7777778
16;194.4444444
17;105.5555556
18;205.5555556
19;108.3333333
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;11.11111111
5;91.66666667
6;236.1111111
7;400
8;558.3333333
9;697.2222222
10;802.7777778
11;869.4444444
12;761.1111111
13;680.5555556
14;658.3333333
15;483.3333333
16;575
17;430.5555556
18;258.3333333
19;102.7777778
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;38.88888889
6;91.66666667
7;180.5555556
8;208.3333333
9;252.7777778
10;225
11;272.2222222
12;405.5555556
13;438.8888889
14;497.2222222
15;477.7777778
16;438.8888889
17;333.3333333
18;202.7777778
19;91.66666667
20;16.66666667
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;58.33333333
6;133.3333333
7;311.1111111
8;391.6666667
9;611.1111111
10;800
11;863.8888889
12;886.1111111
13;883.3333333
14;763.8888889
15;702.7777778
16;555.5555556
17;419.4444444
18;263.8888889
19;122.2222222
20;22.22222222
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;88.88888889
6;236.1111111
7;394.4444444
8;544.4444444
9;680.5555556
10;788.8888889
11;700
12;663.8888889
13;591.6666667
14;536.1111111
15;452.7777778
16;547.2222222
17;394.4444444
18;219.4444444
19;105.5555556
20;25
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;47.22222222
6;208.3333333
7;377.7777778
8;522.2222222
9;652.7777778
10;769.4444444
11;827.7777778
12;861.1111111
13;844.4444444
14;722.2222222
15;680.5555556
16;541.6666667
17;363.8888889
18;194.4444444
19;102.7777778
20;19.44444444
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;80.55555556
6;219.4444444
7;377.7777778
8;536.1111111
9;669.4444444
10;780.5555556
11;855.5555556
12;883.3333333
13;841.6666667
14;775
15;688.8888889
16;552.7777778
17;400
18;244.4444444
19;108.3333333
20;19.44444444
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;72.22222222
6;175
7;355.5555556
8;522.2222222
9;661.1111111
10;763.8888889
11;830.5555556
12;855.5555556
13;836.1111111
14;777.7777778
15;650
16;530.5555556
17;397.2222222
18;247.2222222
19;108.3333333
20;19.44444444
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;22.22222222
6;52.77777778
7;100
8;155.5555556
9;225
10;283.3333333
11;352.7777778
12;513.8888889
13;655.5555556
14;672.2222222
15;661.1111111
16;541.6666667
17;405.5555556
18;266.6666667
19;122.2222222
20;25
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;36.11111111
6;75
7;88.88888889
8;100
9;116.6666667
10;302.7777778
11;288.8888889
12;433.3333333
13;755.5555556
14;752.7777778
15;677.7777778
16;505.5555556
17;430.5555556
18;291.6666667
19;122.2222222
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;44.44444444
6;108.3333333
7;183.3333333
8;288.8888889
9;458.3333333
10;672.2222222
11;644.4444444
12;522.2222222
13;644.4444444
14;594.4444444
15;441.6666667
16;394.4444444
17;261.1111111
18;75
19;33.33333333
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;55.55555556
6;113.8888889
7;150
8;269.4444444
9;322.2222222
10;208.3333333
11;108.3333333
12;169.4444444
13;255.5555556
14;300
15;450
16;188.8888889
17;91.66666667
18;38.88888889
19;25
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;11.11111111
6;38.88888889
7;166.6666667
8;122.2222222
9;277.7777778
10;366.6666667
11;380.5555556
12;341.6666667
13;258.3333333
14;147.2222222
15;116.6666667
16;150
17;127.7777778
18;72.22222222
19;47.22222222
20;22.22222222
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;61.11111111
6;125
7;133.3333333
8;250
9;383.3333333
10;475
11;761.1111111
12;661.1111111
13;488.8888889
14;636.1111111
15;577.7777778
16;363.8888889
17;252.7777778
18;150
19;111.1111111
20;19.44444444
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;13.88888889
5;44.44444444
6;191.6666667
7;208.3333333
8;308.3333333
9;111.1111111
10;541.6666667
11;880.5555556
12;741.6666667
13;677.7777778
14;702.7777778
15;600
16;397.2222222
17;319.4444444
18;266.6666667
19;100
20;5.555555556
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;63.88888889
6;144.4444444
7;308.3333333
8;477.7777778
9;600
10;655.5555556
11;469.4444444
12;766.6666667
13;505.5555556
14;533.3333333
15;294.4444444
16;247.2222222
17;188.8888889
18;69.44444444
19;52.77777778
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;13.88888889
5;75
6;200
7;372.2222222
8;533.3333333
9;677.7777778
10;713.8888889
11;727.7777778
12;333.3333333
13;225
14;255.5555556
15;455.5555556
16;427.7777778
17;388.8888889
18;161.1111111
19;58.33333333
20;11.11111111
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;75
6;202.7777778
7;380.5555556
8;436.1111111
9;572.2222222
10;688.8888889
11;680.5555556
12;775
13;744.4444444
14;719.4444444
15;494.4444444
16;236.1111111
17;116.6666667
18;94.44444444
19;119.4444444
20;16.66666667
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;66.66666667
6;94.44444444
7;55.55555556
8;66.66666667
9;116.6666667
10;225
11;597.2222222
12;761.1111111
13;730.5555556
14;477.7777778
15;263.8888889
16;291.6666667
17;155.5555556
18;113.8888889
19;58.33333333
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;41.66666667
6;75
7;138.8888889
8;200
9;202.7777778
10;208.3333333
11;366.6666667
12;316.6666667
13;97.22222222
14;27.77777778
15;72.22222222
16;244.4444444
17;258.3333333
18;191.6666667
19;50
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;8.333333333
6;66.66666667
7;102.7777778
8;25
9;111.1111111
10;102.7777778
11;163.8888889
12;125
13;141.6666667
14;147.2222222
15;97.22222222
16;66.66666667
17;69.44444444
18;38.88888889
19;19.44444444
20;5.555555556
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;50
6;219.4444444
7;400
8;425
9;311.1111111
10;350
11;180.5555556
12;202.7777778
13;236.1111111
14;194.4444444
15;144.4444444
16;97.22222222
17;66.66666667
18;63.88888889
19;19.44444444
20;8.333333333
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;19.44444444
6;33.33333333
7;69.44444444
8;108.3333333
9;163.8888889
10;200
11;327.7777778
12;366.6666667
13;380.5555556
14;480.5555556
15;325
16;288.8888889
17;175
18;66.66666667
19;58.33333333
20;13.88888889
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;8.333333333
6;27.77777778
7;86.11111111
8;127.7777778
9;163.8888889
10;322.2222222
11;447.2222222
12;513.8888889
13;486.1111111
14;336.1111111
15;330.5555556
16;333.3333333
17;186.1111111
18;94.44444444
19;38.88888889
20;8.333333333
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;30.55555556
6;97.22222222
7;205.5555556
8;400
9;627.7777778
10;508.3333333
11;608.3333333
12;519.4444444
13;305.5555556
14;163.8888889
15;247.2222222
16;102.7777778
17;88.88888889
18;225
19;127.7777778
20;30.55555556
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;5.555555556
5;75
6;202.7777778
7;355.5555556
8;469.4444444
9;633.3333333
10;577.7777778
11;444.4444444
12;413.8888889
13;377.7777778
14;438.8888889
15;361.1111111
16;402.7777778
17;155.5555556
18;105.5555556
19;63.88888889
20;5.555555556
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;8.333333333
5;86.11111111
6;219.4444444
7;288.8888889
8;241.6666667
9;177.7777778
10;205.5555556
11;369.4444444
12;355.5555556
13;358.3333333
14;400
15;336.1111111
16;177.7777778
17;113.8888889
18;141.6666667
19;52.77777778
20;8.333333333
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;25
6;25
7;38.88888889
8;44.44444444
9;63.88888889
10;80.55555556
11;138.8888889
12;197.2222222
13;316.6666667
14;219.4444444
15;422.2222222
16;286.1111111
17;191.6666667
18;105.5555556
19;38.88888889
20;2.777777778
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;2.777777778
5;13.88888889
6;38.88888889
7;144.4444444
8;375
9;311.1111111
10;408.3333333
11;680.5555556
12;813.8888889
13;475
14;361.1111111
